Date,Open,High,Low,close,adj_close,Volume,daily_returns_adj,daily_fwd_returns_adj
19-Sep-23,26760.85,27488.76,26681.61,27211.12,27211.12,13807690550,-0.016788725,0.017075399
18-Sep-23,26532.99,27414.73,26415.52,26754.28,26754.28,15615339655,-0.008226347,0.008294581
17-Sep-23,26567.93,26618,26445.07,26534.19,26534.19,6774210670,0.001284758,-0.001283109
16-Sep-23,26606.2,26754.77,26473.89,26568.28,26568.28,7402031417,0.001520987,-0.001518677
15-Sep-23,26533.82,26840.5,26240.7,26608.69,26608.69,11479735788,-0.002593889,0.002600635
14-Sep-23,26228.28,26774.62,26171.45,26539.67,26539.67,13811359124,-0.011731495,0.011870756
13-Sep-23,25837.55,26376.11,25781.12,26228.32,26228.32,13072077070,-0.015059295,0.015289544
12-Sep-23,25160.66,26451.94,25133.08,25833.34,25833.34,18657279324,-0.025962187,0.026654188
11-Sep-23,25831.71,25883.95,24930.3,25162.65,25162.65,14600006467,0.026610075,-0.025920333
10-Sep-23,25895.21,25978.13,25640.26,25832.23,25832.23,7899553047,0.002456234,-0.002450216
09-Sep-23,25905.43,25921.98,25810.49,25895.68,25895.68,5481314132,0.000385006,-0.000384858
08-Sep-23,26245.21,26414.01,25677.48,25905.65,25905.65,10817356400,0.012914171,-0.012749522
07-Sep-23,25748.31,26409.3,25608.2,26240.2,26240.2,11088307100,-0.018557785,0.018908689
06-Sep-23,25783.93,25953.02,25404.36,25753.24,25753.24,12752705327,0.001038316,-0.001037239
05-Sep-23,25814.96,25858.38,25589.99,25779.98,25779.98,11094740040,0.001258341,-0.001256759
04-Sep-23,25968.17,26081.53,25657.03,25812.42,25812.42,10680635106,0.006088154,-0.006051313
03-Sep-23,25869.47,26087.15,25817.03,25969.57,25969.57,8962524523,-0.003880311,0.003895426
02-Sep-23,25800.91,25970.29,25753.09,25868.8,25868.8,10100387473,-0.002631742,0.002638686
01-Sep-23,25934.02,26125.87,25362.61,25800.72,25800.72,17202862221,0.005067688,-0.005042136
31-Aug-23,27301.93,27456.08,25752.93,25931.47,25931.47,20181001451,0.052669594,-0.050034307
30-Aug-23,27726.08,27760.16,27069.21,27297.27,27297.27,16343655235,0.015756887,-0.015512459
29-Aug-23,26102.49,28089.34,25912.63,27727.39,27727.39,29368391712,-0.058470704,0.062101842
28-Aug-23,26089.62,26198.58,25880.6,26106.15,26106.15,11002805166,-0.000630503,0.000630901
27-Aug-23,26008.24,26165.37,25965.1,26089.69,26089.69,6913768611,-0.00311349,0.003123215
26-Aug-23,26047.23,26107.38,25983.88,26008.46,26008.46,6034817316,0.001507586,-0.001505317
25-Aug-23,26163.68,26248.1,25786.81,26047.67,26047.67,12406045118,0.004403465,-0.004384159
24-Aug-23,26431.52,26554.91,25914.93,26162.37,26162.37,12871532023,0.010292263,-0.010187412
23-Aug-23,26040.47,26786.9,25805,26431.64,26431.64,16985265785,-0.015132621,0.015365136
22-Aug-23,26130.75,26135.51,25520.73,26031.66,26031.66,14503820706,0.003552597,-0.003540021
21-Aug-23,26188.69,26220.2,25846.09,26124.14,26124.14,13371557893,0.002504963,-0.002498704
20-Aug-23,26096.86,26260.68,26004.31,26189.58,26189.58,9036580420,-0.003565158,0.003577914
19-Aug-23,26047.83,26249.45,25802.41,26096.21,26096.21,10631443812,-0.001787616,0.001790817
18-Aug-23,26636.08,26808.2,25668.92,26049.56,26049.56,24026236529,0.02360846,-0.023063956
17-Aug-23,28699.8,28745.95,25409.11,26664.55,26664.55,31120851211,0.076402189,-0.070979221
16-Aug-23,29169.07,29221.98,28701.78,28701.78,28701.78,14949271904,0.016325468,-0.016063229
15-Aug-23,29408.05,29439.12,29088.85,29170.35,29170.35,12640195779,0.008162055,-0.008095975
14-Aug-23,29283.26,29660.25,29124.11,29408.44,29408.44,14013695304,-0.004268503,0.004286801
13-Aug-23,29416.59,29441.43,29265.81,29282.91,29282.91,7329897180,0.004543606,-0.004523055
12-Aug-23,29399.79,29465.11,29357.59,29415.96,29415.96,6194358008,-0.000620412,0.000620797
11-Aug-23,29424.9,29517.77,29253.52,29397.71,29397.71,10195168197,0.001084438,-0.001083263
10-Aug-23,29563.97,29688.56,29354.45,29429.59,29429.59,11865344789,0.004481884,-0.004461886
09-Aug-23,29766.7,30093.44,29376.8,29561.49,29561.49,18379521213,0.00690087,-0.006853574
08-Aug-23,29180.02,30176.8,29113.81,29765.49,29765.49,17570561357,-0.019650609,0.020044495
07-Aug-23,29038.51,29244.28,28724.14,29180.58,29180.58,13618163710,-0.004753847,0.004776554
06-Aug-23,29043.7,29160.82,28963.83,29041.86,29041.86,7269806994,9.29693E-06,-9.29684E-06
05-Aug-23,29075.39,29102.46,28957.8,29042.13,29042.13,6598366353,0.00110047,-0.001099261
04-Aug-23,29174.38,29302.08,28885.34,29074.09,29074.09,12036639988,0.003597361,-0.003584466
03-Aug-23,29161.81,29375.71,28959.49,29178.68,29178.68,12780357746,-0.000915737,0.000916576
02-Aug-23,29704.15,29988,28946.51,29151.96,29151.96,19212655598,0.017966888,-0.017649776
01-Aug-23,29230.87,29675.73,28657.02,29675.73,29675.73,18272392391,-0.015016311,0.015245239
31-Jul-23,29278.31,29489.87,29131.58,29230.11,29230.11,11656781982,0.001546351,-0.001543963
30-Jul-23,29357.09,29443.17,29059.5,29275.31,29275.31,8678454527,0.002787673,-0.002779924
29-Jul-23,29319.45,29396.84,29264.17,29356.92,29356.92,6481775959,-0.001283173,0.001284821
28-Jul-23,29212.16,29521.51,29125.85,29319.25,29319.25,11218474952,-0.003702687,0.003716448
27-Jul-23,29353.8,29560.97,29099.35,29210.69,29210.69,10770779217,0.004939288,-0.004915011
26-Jul-23,29225.76,29675.55,29113.91,29354.97,29354.97,13497554655,-0.004346112,0.004365084
25-Jul-23,29178.97,29353.16,29062.43,29227.39,29227.39,10266772793,-0.001726805,0.001729792
24-Jul-23,30081.66,30093.39,28934.29,29176.92,29176.92,15395817395,0.031107464,-0.030168984
