Feature,MI
X655,0.023206464462658616
X13,0.023154387919608332
X671,0.023125535244576945
X646,0.023076812467834884
X364,0.02303818505640365
X787,0.022991942427077028
X75,0.02291304765800728
X755,0.02286304222896751
X544,0.022819771843039405
X28,0.022803869905803076
X30,0.02272573718480775
X857,0.02268140953570086
X65,0.02268048207709583
X266,0.022635196572357685
X504,0.022592132642111906
X319,0.02249616130794152
X260,0.022432418163684353
X262,0.022362665062583886
X111,0.022217477504394623
X105,0.022168194506959615
X477,0.022148465412087148
X681,0.022133221139065462
X843,0.022129654201993088
X406,0.02191354068520024
X831,0.021836974300287082
X839,0.021821567958462573
X577,0.021755887995590806
X361,0.021633560750181857
X643,0.02162018210005101
X29,0.021600868431669085
X751,0.02158101995822337
X470,0.02158080351514613
X212,0.02149506453557315
X108,0.021492973935871795
X553,0.02145237140973677
X66,0.021423106937649372
X12,0.02131243873578903
X783,0.021210354525067032
X876,0.021186205914020206
X31,0.021085896331174858
X497,0.02108175725408401
X637,0.021059219639748328
X18,0.020961177658371355
X747,0.020906603284849723
X355,0.02084645781251737
X578,0.020744949592183204
X32,0.020621487563555974
X815,0.02058195966074372
X232,0.020521464313301152
X154,0.02051895057972075
X144,0.020514516440180763
X396,0.02047851901608322
X274,0.020445326498769845
X640,0.020328266442223963
X69,0.020323510798341715
X27,0.020266008443433847
X469,0.020254071977478638
X147,0.02021706987997085
X612,0.02003972920971009
X672,0.020038862448977568
X449,0.01989890626663815
X519,0.01985841044904202
X779,0.019815724039032645
X312,0.019775311371692084
X307,0.019720600060010973
X827,0.019685162088937336
X313,0.0196789338352632
X196,0.01965063116867327
X442,0.01962813853244061
X11,0.01959828197848168
X568,0.019535070384595343
X666,0.019527782621533873
X743,0.019524452977762063
X811,0.019509616791644646
X455,0.01946528241762646
X64,0.01944263206655439
X322,0.019401737944575892
X349,0.01922821220893045
X204,0.019142261219869283
X529,0.019125421318968883
X10,0.019058444735519764
X211,0.018989083966374665
X26,0.01890614372843391
X476,0.01877602625814845
X546,0.018749390533498556
X604,0.018417233044599968
X807,0.01817109961666441
X221,0.01814984855692181
X358,0.01814980619710216
X569,0.017996590787912936
X628,0.01781638634539462
X259,0.01778743802147975
X823,0.01759208017856473
X631,0.017493286223772664
X625,0.017482150665784957
X231,0.017427725784762593
